Date;Max;Min;Average;Precipitation
August 27, 2018;17.1°;8.8°;13.2°;0.1 mm
August 26, 2018;19.5°;6.6°;13.0°;0.0 mm
August 25, 2018;19.1°;5.0°;12.8°;3.2 mm
August 24, 2018;20.7°;12.6°;15.6°;0.2 mm
August 23, 2018;20.2°;11.1°;15.8°;2.6 mm
August 22, 2018;20.1°;10.8°;16.4°;0.0 mm
August 21, 2018;21.0°;6.0°;14.3°;0.0 mm
August 20, 2018;19.8°;8.6°;14.0°;0.0 mm
August 19, 2018;23.0°;9.1°;16.9°;0.0 mm
August 18, 2018;18.2°;11.4°;15.9°;7.4 mm
August 17, 2018;22.2°;13.6°;16.8°;0.7 mm
August 16, 2018;20.8°;17.5°;18.5°;0.0 mm
August 15, 2018;22.4°;8.9°;16.1°;0.0 mm
August 14, 2018;21.8°;8.1°;15.4°;0.0 mm
August 13, 2018;22.6°;6.6°;14.8°;2.0 mm
August 12, 2018;17.6°;11.5°;13.3°;1.7 mm
August 11, 2018;20.6°;10.6°;16.2°;5.3 mm
August 10, 2018;22.6°;14.5°;16.9°;14.6 mm
August 9, 2018;26.5°;18.0°;21.2°;8.0 mm
August 8, 2018;21.7°;13.6°;18.0°;1.2 mm
August 7, 2018;26.1°;13.2°;18.7°;0.0 mm
August 6, 2018;22.3°;12.7°;17.6°;0.0 mm
August 5, 2018;25.8°;15.9°;20.2°;0.0 mm
August 4, 2018;28.1°;15.3°;21.8°;0.0 mm
August 3, 2018;25.6°;13.6°;19.9°;0.1 mm
August 2, 2018;24.7°;15.0°;20.1°;0.0 mm
August 1, 2018;27.2°;17.5°;21.7°;9.4 mm
July 31, 2018;30.9°;17.2°;23.1°;2.4 mm
July 30, 2018;27.3°;14.1°;20.9°;0.0 mm
July 29, 2018;28.2°;20.4°;22.8°;15.7 mm
July 28, 2018;30.9°;21.3°;25.4°;0.0 mm
July 27, 2018;34.2°;14.9°;25.1°;0.0 mm
July 26, 2018;31.9°;15.0°;24.0°;0.0 mm
July 25, 2018;29.5°;18.7°;23.1°;0.0 mm
July 24, 2018;30.2°;19.1°;23.3°;0.0 mm
July 23, 2018;30.5°;17.0°;23.1°;0.0 mm
July 22, 2018;27.2°;17.3°;21.2°;0.0 mm
